字段1,字段2,字段3,字段4,文本,文本1
"
							:上港集团(600018)股权登记日是哪天
						","
							尊敬的投资者您好，具体涉及股权登记日信息请您关注公司公告。
						",2022年07月26日 14:25,2022年07月27日 10:34,上港集团,(600018)
"
							:上港集团(600018)请问公司2季度业绩如何？是否会发布业绩预告？
						","
							尊敬的投资者，您好。公司二季度经营业绩情况，请关注公司将于8月末披露的公司2022年半年度报告，公司将严格按照上海证券交易所相关规定履行信息披露义务。感谢您对公司的关注。
						",2022年07月12日 09:04,2022年07月19日 15:06,上港集团,(600018)
"
							:上港集团(600018)6月以来上港集团股票一直跌跌不休，请问是否上港集团经营管理出现了问题？
						","
							尊敬的投资者，您好。目前，公司生产经营正常，业务发展稳健向好；公司管理层高度重视股东权益，积极做好经营管理工作，稳步提升公司经营业绩，并不断加强信息披露和投资者关系管理。但是除了公司基本面外，公司二级市场股价的短期波动也受宏观经济、大盘走势等诸多复杂因素影响。公司将持续聚焦自身发展，努力提升公司的整体价值，力争以优异的业绩回报股东。感谢您对公司的关注。
						",2022年07月15日 13:19,2022年07月19日 15:05,上港集团,(600018)
"
							:上港集团(600018)董秘您好，公司股价长期低迷的原因：股权结构问题，股价被存在真实交易的外资沪股通控制。前10大股东只有香港中央结算有限公司（沪股通）占比1.68%是真正流通盘，其余各大股东基本都不交易。我的问题是：领导层是否意识到这个问题？上港集团如何摆脱股价被外资控制这一实际问题？ 请董秘以共产党员实事求是态度回答这个问题。
						","
							尊敬的投资者，您好。上市公司二级市场股价的短期波动会受宏观经济、大盘走势、市场环境、市场预期等诸多复杂因素影响。感谢您对公司的关注。
						",2022年07月07日 11:13,2022年07月19日 15:05,上港集团,(600018)
"
							:上港集团(600018)上港集团一直是中国人的骄傲，先进的生产、技术、管理等等，2021年和2022年第一季度业绩同比增长较大，但是股票价格一直徘徊不前，上港集团管理层是否应该反思反思？
						","
							尊敬的投资者您好，股价波动受很多因素的影响，公司基本面是一个重要因素，但宏观经济状况和二级市场上的供求关系对股价的影响也不能忽视。公司重视市值管理，努力保持业绩的可持续增长。同时，公司积极通过官网、邮箱、投资者热线、股东大会、业绩说明会、投资者接待、上证E互动等多种渠道加强与投资者的沟通交流，有效传递公司发展价值。感谢您对公司的关注。
						",2022年07月04日 09:16,2022年07月07日 08:56,上港集团,(600018)
"
							:上港集团(600018)上港21亿的委托贷款年利息才2.3%，这个利率是不是太低了，公司是出于什么考虑定的这个利率？
						","
							尊敬的投资者您好，公司年度报告中披露的单项委托贷款情况，是公司下属子公司按照股权比例，对包含公司在内的股东，按照同等条件来发放的委托贷款。感谢您对公司的关注。
						",2022年07月04日 11:06,2022年07月07日 08:56,上港集团,(600018)
"
							:上港集团(600018)尊敬的董秘，你好。请问贵公司是否开通微博？如有开通，请问微博开通时间和微博名是什么？
						","
							尊敬的投资者您好，公司目前未开通微博。公司有关信息请关注公司指定信息披露媒体上海证券交易所网站以及《上海证券报》、《中国证券报》、《证券时报》。感谢您对公司的关注。
						",2022年06月21日 08:48,2022年06月24日 16:35,上港集团,(600018)
"
							:上港集团(600018)上港集团公司一直以来生产、经营发展一切正常，但是股价一直在地位徘徊，股价和公司的发展是不相符合的，请问一下公司管理层对于稳定公司股价是否有什么预案，在维护股东权益方面有什么具体措施！
						","
							尊敬的投资者您好，股价波动受很多因素的影响，公司的基本面是一个重要的因素，但宏观经济状况和二级市场上的供求关系对股价的影响也不能忽视。公司重视市值管理，努力保持业绩的可持续增长。同时，公司积极通过官网、邮箱、投资者热线、股东大会、业绩说明会、投资者接待、上证E互动等多种渠道加强与投资者的沟通交流，有效传递公司发展价值，提振股东信心，切实维护股东权益。感谢您对公司的关注。
						",2022年06月24日 13:49,2022年06月24日 16:34,上港集团,(600018)
"
							:上港集团(600018)尊敬的董秘，公司是否获取5月份或6月份的股东数？股东了解股东数需要提供哪些证明，发哪个邮箱？
						","
							尊敬的投资者您好，公司严格按照有关法律法规及相关规定履行信息披露义务，将在定期报告中公开披露报告期末的股东人数情况，请您关注公司的定期报告。如有问题，您可致电公司投资者热线021-35308688进行咨询。感谢您的关注。
						",2022年06月08日 10:12,2022年06月09日 15:24,上港集团,(600018)
"
							:上港集团(600018)尊敬董秘：前几年贵公司对东方海外国际的投资十分成功，请问贵公司是否考虑投资中远海控港股（目前已经破净），进一步强强联合，同时响应国家相关政策，对于低估值国企进行增持
						","
							尊敬的投资者，感谢您的建议和关注。
						",2022年05月23日 10:22,2022年05月24日 17:08,上港集团,(600018)
"
							:上港集团(600018)董秘您好！请问疫情是否影响贵司二季度经营？
						","
							尊敬的投资者，您好！近期，上海因疫情采取了严格的管控措施，但在相关部门的积极指导下，港口企业与船公司采取了多种措施，基本保证了上海港的正常运营。公司从严从紧、从细从快落实国家和上海市各项疫情防控措施，全面实施港区闭环管理，扎紧港口管理闭环，目前港口指挥中枢高效运转，干部职工坚守生产岗位，除受极端恶劣天气影响，全港各生产单位保持24小时正常作业。同时，公司充分发挥自身资源优势，与长江沿线港口以及广大支线航线经营人密切协作，利用长江黄金水道深入推进“水水中转”、“综合物流陆改水”、“海铁联运”、“公改铁”等服务，多措并举保障产业链供应链稳定。感谢您对公司的关注。
						",2022年05月12日 13:17,2022年05月16日 15:23,上港集团,(600018)
"
							:上港集团(600018)公司有没有考虑过缩股方式进行市值管理？上交所有缩股的先例也允许进行缩股，青海贤成矿业股份有限公司在2014年6月25号进行过缩股！公司是否会争取做上交所有缩股记录的第二家上市公司？
						","
							尊敬的投资者，您好！目前公司无相关计划。公司致力于推进高质量发展，努力提升经营效益，保持公司利润的可持续增长，并加强与投资者的沟通交流，有效传递公司发展价值。感谢您对公司的关注和建议。
						",2022年05月13日 12:21,2022年05月16日 15:21,上港集团,(600018)
"
							:上港集团(600018)请问公司股东有增持吗？
						","
							尊敬的投资者，您好！公司于2022年4月7日、4月30日分别披露了《上港集团关于持股5%以上股东及其一致行动人增持达到1%的提示性公告》（临2022-015）和《上港集团关于持股5%以上股东签署＜股份转让协议＞的提示性公告》（临2022-016），具体请阅公告内容。感谢您对公司的关注。
						",2022年05月05日 18:07,2022年05月09日 11:03,上港集团,(600018)
"
							:上港集团(600018)请问今年会开几次业绩说明会？
						","
							尊敬的投资者，您好！公司召开业绩说明会会提前发布公告，相关事项请以公司公告为准。感谢您对公司的关注。
						",2022年04月24日 19:47,2022年05月05日 08:49,上港集团,(600018)
"
							:上港集团(600018)董秘，您好。
新闻报道说要足协加快一批国脚的自由身仲裁。请问这批国脚是贵集团下属上海海港码头足球俱乐部的引援对象呢？
						","
							尊敬的投资者，您好！海港足球俱乐部以打造百年俱乐部为己任，俱乐部长期致力于培养优秀的年轻球员，实现自身造血功能，同时通过合理的引援，提升球队综合实力。关于引援的具体信息请您关注“上海海港足球俱乐部”官方媒体平台，以官方发布为准。感谢您对公司的关注和支持。
						",2022年04月22日 19:14,2022年05月05日 08:49,上港集团,(600018)
"
							:上港集团(600018) 董秘，你好 请问公司可以考虑收购腾龙股份吗？它的子公司新源动力是国际一流的氢能源燃料电池龙头企业！腾龙股份目前资产都高达35亿了，而且还有百亿多订单，子公司新源动力也要上市了！建议公司可以考虑低价的腾龙股份，谢谢
						","
							尊敬的投资者，您好！公司主要从事港口相关业务。感谢您对公司的关注。
						",2022年04月18日 08:55,2022年04月18日 16:41,上港集团,(600018)
"
							:上港集团(600018) 董秘，公司可以考虑收购腾龙股份吗？它的子公司新源动力是国际一流的氢能源燃料电池龙头企业，主要产品包括膜电极、电堆及系统等都是核心高利润产品！强烈建议收购腾龙股份，谢谢！ ?
						","
							尊敬的投资者，您好！公司主要从事港口相关业务。感谢您对公司的关注。
						",2022年04月17日 13:26,2022年04月18日 16:40,上港集团,(600018)
"
							:上港集团(600018)尊敬的上港董秘您好，我仔细阅读了贵公司2021年报第16-19页的“主要控股参股公司分析”，发现其中并未披露公司重要子公司海港足球俱乐部的全年财务数据，按照规定该公司明显达到披露标准，且无论经营规模与重要性程度远高于其他披露的子公司，另外往年也都正常披露，为何今年没有披露？该公司财务数据重大，对我们投资者投资贵公司股票非常重要，恳请告知原因，谢谢！
						","
							尊敬的投资者，您好！公司信息披露严格按照《上海证券交易所股票上市规则》等规定履行信息披露义务，公司主要从事港口相关业务，并考虑净资产规模等主要指标对主要控股参股公司进行确定。感谢您对公司的关注。
						",2022年04月05日 20:51,2022年04月14日 16:12,上港集团,(600018)
"
							:上港集团(600018)您好，请问贵公司今年整体经营状况还好吗？前一季度同比2011年有增长吗？如有，增了多少？疫情和俄乌战争影响是正面还是负面？谢谢。
						","
							尊敬的投资者，您好！公司于2022年4月1日披露了《2022年第一季度业绩预增提示性公告》，经财务部门初步测算，预计2022年第一季度公司实现归属于上市公司股东的净利润约人民币51.8亿元。感谢您对公司的关注。
						",2022年03月26日 14:10,2022年04月04日 13:49,上港集团,(600018)
"
							:上港集团(600018)董秘好，3月28日，上海以黄浦江为界分区分批实施核酸筛查，浦东先行实施封控，请问公司是否能全力以赴，保证东海不出现多出很多飘在海上的国际货轮的情况。
						","
							尊敬的投资者，您好！公司作为城市运行重要保障单位，坚决贯彻落实我市各项疫情防控措施，全港上下统一思想，快速行动，发扬决战决胜精神，港口生产运行关键岗位、重要保障人员正坚守工作岗位，全力守护港区防疫安全，确保港口生产运行，保障民生和防疫物资运输畅通。目前，除受极端恶劣天气影响外，全港各生产单位保持24小时作业。感谢您对公司的关注。
						",2022年03月28日 13:57,2022年04月04日 13:49,上港集团,(600018)
"
							:上港集团(600018)您好，交通运输部发文下降港口费用，贵司一些费用下降10%怎么看，是否是重大不利影响
						","
							尊敬的投资者，您好！根据交通运输部近期下发的相关文件通知内容，不会对公司产生重大不利影响。感谢您对公司的关注。
						",2022年03月02日 16:42,2022年04月04日 13:49,上港集团,(600018)
"
							:上港集团(600018)海尔智家和福耀玻璃因和无良媒体凤凰卫视合作，导致品牌价值受损，股价暴跌，贵公司执意选择跟凤凰卫视合作，是出于什么原因？做过调研和评估吗？是对投资者负责任态度吗？最近股价暴跌跟凤凰卫视合作有关系吗？
						","
							尊敬的投资者，您好！公司不涉及。感谢您对公司的关注。
						",2022年03月18日 12:39,2022年04月04日 13:49,上港集团,(600018)
"
							:上港集团(600018)董秘您好!涉嫌诈骗百亿的凤凰卫视旗下凤凰金融是否与贵公司有关联，如果有会给贵司带来什么影响?作为小散，我应该减持吗?
						","
							尊敬的投资者，您好！公司不涉及。感谢您对公司的关注。
						",2022年03月22日 08:53,2022年04月04日 13:49,上港集团,(600018)
"
							:上港集团(600018)董秘您好：请教两个问题，1、对罗泾港区的固定资产和在建工程的减值计提，政府有相应补偿吗？2、财报年度没有对宁波港的长期股权投资进行减值计提，为什么要对南京港的长期股权投资计提216,573,608.60元，会形成损失吗？
						","
							尊敬的投资者，您好！根据有关部门环境保护的要求以及公司转型发展的需要，我们按照《企业会计准则》的相关规定，对罗泾港区相关资产进行了减值测试评估，并根据评估结果计提了固定资产减值准备，截止目前，相关资产未涉及政府补偿事宜；我们按照《企业会计准则》的相关规定，对南京港的股权资产计提长期股权投资减值准备。感谢您对公司的关注。
						",2022年03月30日 10:58,2022年04月04日 13:49,上港集团,(600018)
"
							:上港集团(600018)请问根据公司章程第一百六十一条所述的当年利润可没有说是特指母公司实现的净利润，而是所有股民公认的上市公司当年净利润。另外请问2021年母公司实现的净利润人民币 6,988,745,217.32的统计口径是什么，与归属于上市公司股东的净利润14,682,049,061.06元差异在哪里？能否明示。
						","
							尊敬的投资者，您好！根据《上海证券交易所股票上市规则》的有关规定，上市公司制定利润分配方案时，应当以母公司报表中可供分配利润为依据。感谢您对公司的关注。
						",2022年03月30日 10:18,2022年04月04日 13:49,上港集团,(600018)
"
							:上港集团(600018)尊敬的董秘，虎年好！看到近几年来公司的研发投入不断增加，研发成果显著，可喜可贺！2020年达到8234万元，可否抽时间查下这个8234万元中有多少是来自银行贷款？谢谢！
						","
							尊敬的投资者，您好。公司2020年的研发投入均为自有资金。感谢您对公司的关注。
						",2022年02月09日 17:33,2022年02月24日 15:25,上港集团,(600018)
"
							:上港集团(600018)请问上港俱乐部的决策层成员、管理层成员各自是否可以由更多是体育经济与管理专业硕士学历的人担任？同时俱乐部的战术是否可变得更整体一些，不过度依赖个人能力，而是个人能力和整体的整合？
						","
							尊敬的投资者，您好。感谢您的建议。
						",2022年02月16日 08:39,2022年02月24日 15:25,上港集团,(600018)
"
							:上港集团(600018)董秘您好：公司正在努力打造成为国际航运中心，但目前还需不断提高综合竞争力，请问公司是否也在同步推进人民币离岸金融业务？
						","
							尊敬的投资者，您好。公司将根据实际业务情况研究相关政策。感谢您对公司的关注。
						",2022年02月18日 12:39,2022年02月24日 15:25,上港集团,(600018)
"
							:上港集团(600018)关于分红：是否可以将对外投资的股票或者分拆上市子公司的股份进行分红？
						","
							尊敬的投资者，您好。《公司章程》中规定“公司应采取积极的股利政策，每年应将当年利润中不少于50％的可分配利润向股东进行分配，利润分配可采取现金、股票或者现金股票相结合的方式，及其他法律、行政法规允许的形式。利润分配中，现金分红优于股票股利。”感谢您对公司的关注。
						",2022年02月21日 14:29,2022年02月24日 15:23,上港集团,(600018)
"
							:上港集团(600018)董秘好：请问沪东码头的自动化升级项目是否已获得阶段性成果？什么时候能完成升级改造。谢谢。
						","
							尊敬的投资者，您好！按照公司统一部署，在沪东公司实施的传统集装箱码头升级改造项目已于2021年成功取得了预期的阶段成果。传统集装箱码头的自动化升级创新是一个循序渐进的过程，公司正在逐步推进实施。感谢您对公司的关注。
						",2022年01月05日 12:44,2022年02月07日 08:34,上港集团,(600018)
"
							:上港集团(600018)请问董秘的电话分机号是多少？总机都不知道啊，谢谢
						","
							尊敬的投资者，你好！公司董秘负责的投资者接待热线电话为：021-35308688。公司总机号码为：021-55333388。感谢您对公司的关注。
						",2022年01月12日 09:39,2022年02月07日 08:34,上港集团,(600018)
"
							:上港集团(600018)关于公司分红承诺的问题，公司2020年度年报35页显示，公司2018-2020年度每年分红金额，占合并报表中归属于上市公司普通股股东的净利润的比率分别为34.73%，37.08%，35.71%。而在同页的承诺事项中明确表示“每年应将当年利润中不少于 50％的可分配利润向股东进行分配”。请问公司连续3年都没达到承诺的50%分红比率，为何却说严格履行了承诺？可供分配利润是否等于当年净利润-10%法定盈余公积？是否意味着分红要达到净利润的45%？
						","
							尊敬的投资者，您好！上港集团重视股东回报，自上市以来，分红比例均符合《公司章程》的规定，保持了较高的分红派息比例。以2020年度利润分配为例，利润分配方案以母公司实现的净利润为基数，2020年度母公司实现净利润约为66亿元，提取法定公积金10%，提取后的可分配利润约为59亿元。将提取后的可分配利润的50%，按照持股比例向全体股东进行分配，每10股派发现金红利1.28元（含税）。2020年度公司现金分红金额占合并报表中归属于上市公司股东的净利润比例为35.7%。感谢您对公司的关注。
						",2022年01月14日 09:23,2022年02月07日 08:34,上港集团,(600018)
"
							:上港集团(600018)公司章程规定“每年应将当年利润中不少于50％的可分配利润向股东进行分配.”
请问公司17年度开始每年分红比率只有35%，公司章程中所指的“50％的可分配利润”到底是何口径？ 以2020年度年报178页显示，公司归母净利润83.07亿，提取法定盈余公积6.55亿，当期可分配利润为83.07亿-6.55亿，按照50%比例分红，分红金额应为（83.07-6.55）/2=38.26亿，但是公司实际分红金额只有33.6亿？请问如何理解这其中的差距？是否涉嫌违反承诺？
						","
							尊敬的投资者，您好！上港集团重视股东回报，自上市以来，分红比例均符合《公司章程》的规定，保持了较高的分红派息比例。以2020年度利润分配为例，利润分配方案以母公司实现的净利润为基数，2020年度母公司实现净利润约为66亿元，提取法定公积金10%，提取后的可分配利润约为59亿元。将提取后的可分配利润的50%，按照持股比例向全体股东进行分配，每10股派发现金红利1.28元（含税），符合《公司章程》的相关规定。感谢您对公司的关注。
						",2022年01月14日 09:25,2022年02月07日 08:34,上港集团,(600018)
"
							:上港集团(600018)请问上港集团2021年年报业绩较好，而股票价格不涨反跌，子公司分拆上市是否是近期上港集团股票走低的主要原因？
						","
							尊敬的投资者，您好！公司筹划控股子公司锦江航运分拆上市事项，有利于发挥资本市场优化资源配置的作用，促进公司及锦江航运业务的共同发展，符合公司的战略规划和长远发展。公司股价的波动受很多因素的影响，公司的基本面是一个重要的因素，但宏观经济状况和二级市场上的供求关系对股价的影响也不能忽视。公司持续关注二级市场股价表现，努力提升公司效益增长，保持公司利润的可持续增长，从本质上这是支撑股价最重要的保障。感谢您对公司的关注。
						",2022年01月17日 09:30,2022年02月07日 08:34,上港集团,(600018)
"
							:上港集团(600018)董秘您好!中远海控运价一年翻了六倍，请问公司码头费用为什么不能涨呢？这不是补贴美国人嘛?
						","
							尊敬的投资者，您好！船公司运价体系和码头费率体系不一样，公司码头费率主要基于国家政策、市场环境等因素，进行的市场化定价，并向有关部门报备。公司在国家发展和改革委员会和交通运输部的指导下，着力规范上海港港口生产经营行为，持续营造公平竞争市场环境，促进港口行业健康发展。感谢您对公司的关注。
						",2022年01月17日 09:59,2022年02月07日 08:34,上港集团,(600018)
"
							:上港集团(600018)董秘您好!上市公司为啥养一个足球队，太不正经了。请问这个足球队是商业行为还是政府行为?强烈要求卖掉足球队。作为股东我不愿意养这个足球队。另外请问海法港口收益什么时候并表?
						","
							尊敬的投资者，您好！公司关注城市体育事业发展，公司涉足足球事业，既是公司发展自身、回报社会，积极履行社会责任，投身上海城市建设和体育发展的一项内容，也是在国家加快发展体育产业，尤其是足球产业的背景下，进一步涉足体育产业的一次重要尝试。关于以色列海法新港，公司于2021年9月1日举行了以色列海法新港开港仪式，其为公司全资子公司，纳入并表范围。感谢您对公司的关注。
						",2022年01月17日 09:59,2022年02月07日 08:34,上港集团,(600018)
"
							:上港集团(600018)请问啥时候出年报预告？
						","
							尊敬的投资者，您好。公司严格按照《上海证券交易所股票上市规则》的有关规定，做好相关信息披露工作，请您持续关注公司相关信息。感谢您对公司的关注。
						",2022年01月04日 09:21,2022年01月07日 16:45,上港集团,(600018)
"
							:上港集团(600018)请问上港俱乐部的预备队是否可在未来的2年内做到70%的球员都是从大学生足球联赛中非体育特长生及非体育高校进行选拔，同时用3年时间做到一线队有60%的球员是从大学生足球联赛中非体育特长生及非体育高校进行选拔？
						","
							尊敬的投资者，您好。体育是教育中不可分割的一部分，大学生足球联赛所扮演的角色相信会越来越受到重视。从足球运动的普及、扩大足球人口而言，在学校中推广足球项目是最有效的足方法之一。海港俱乐部在做好自身职业化青训体系道路，实现自身造血的同时，也在积极探索体教结合之路，与更多的学校进行深度合作，从体教结合中摸索体教融合，希望通过不断地积极尝试，促进足球事业的可持续发展。感谢您对公司的关注。
						",2022年01月04日 08:39,2022年01月07日 16:44,上港集团,(600018)
"
							:上港集团(600018)董秘好：洋山港“5G+L4”智能项目是否属于数字经济领域，会推广到公司的其他港区吗？
						","
							尊敬的投资者，您好。上海洋山港区智能重卡示范运营是推动智能网联汽车从技术研发向商业落地的前瞻探索，是落实我国交通强国战略的重要抓手，是加快上海城市数字化转型的集中体现，是实现交通领域碳达峰、碳中和的具体举措。未来，上港集团将依托国家重点研发项目——大型集装箱港口智能绿色交通系统关键技术的研究，通过面向典型场景下的集成创新，打破临港地区、东海大桥和洋山港区域的大运量运输瓶颈，构建数字化基础设施，加快推动智能集疏运系统的建设，重塑智能绿色交通体系，为提升城市综合竞争力注入新动能。感谢您对公司的关注。
						",2021年12月30日 11:16,2022年01月07日 16:44,上港集团,(600018)
"
							:上港集团(600018)这次港口提价，请问对公司业绩提升有多大？
						","
							尊敬的投资者，您好。公司目前没有发布相关提价信息。感谢您对公司的关注。
						",2021年12月17日 08:42,2022年01月07日 16:44,上港集团,(600018)
"
							:上港集团(600018)请问上官新闻的宋承良和东方日体育日报的陈华是否是贵集团的海港俱乐部的御用记者呢？
						","
							尊敬的投资者，您好。公司及足球俱乐部与媒体单位非从属关系，不具有约束媒体记者言论的权限。有关足球俱乐部的信息，请关注俱乐部官方网站。感谢您对公司及足球俱乐部的关注。
						",2021年12月16日 08:48,2022年01月07日 16:43,上港集团,(600018)
"
							:上港集团(600018)上港集团也宣布内贸中转20英尺重箱由原来的160元上调80元至240元，并将从2022年1月1日起执行。请问20英尺重箱业务占比多大？
						","
							尊敬的投资者，您好。公司内贸中转20英尺重箱占比约为5%，感谢您对公司的关注。
						",2021年12月14日 09:13,2021年12月15日 17:14,上港集团,(600018)
"
							:上港集团(600018)大通胀时代，港口的运营成本上升很大，宁波舟山港开始提价10%，请问贵公司啥时候也开始提价？
						","
							尊敬的投资者，您好。公司如有相关信息且达到信息披露标准，将及时履行信息披露义务，具体收费标准请以公司公示为准，感谢您对公司的关注。
						",2021年12月03日 08:47,2021年12月15日 17:14,上港集团,(600018)
"
							:上港集团(600018)中远海控为了市值管理，加大了分红力度，市场反应很好，建议贵公司效仿中远海控，加大很红，多多回答投资者的问题
						","
							尊敬的投资者，您好。公司章程中规定“公司应采取积极的股利政策，每年应将当年利润中不少于50％的可分配利润向股东进行分配，利润分配可采取现金、股票或者现金股票相结合的方式，及其他法律、行政法规允许的形式。利润分配中，现金分红优于股票股利。”公司重视股东回报，自上市以来，公司分红均符合公司章程的规定，保持了较高的分红派息比例。感谢您对公司的建议和关注。
						",2021年12月01日 08:42,2021年12月03日 15:25,上港集团,(600018)
"
							:上港集团(600018)公司的第三季多出来的30亿的财务费用，对二级市场打击很大，股价一直跌，今年公司的股价都快跌回去了，请问公司有什么措施提振一下股价。
						","
							尊敬的投资者，您好。截至今日收盘，公司股票收盘价格为5.57元/股，较2020年末上涨约25%。感谢您对公司的关注。
						",2021年12月01日 08:42,2021年12月03日 15:24,上港集团,(600018)
"
							:上港集团(600018)您好，投资者有两个问题请教，一是近来大股东改换，对公司未来定位和经营管理有何方面影响？二是最新股东人数是多少，查询一下要钱吗？
						","
							尊敬的投资者，您好。公司于11月16日披露了《上港集团关于股份无偿划转的提示性公告》，就股份无偿划转事项进行提示说明，本次国有股份无偿划转不会对公司正常的生产经营活动产生影响。另外，根据中国证券登记结算有限责任公司目前业务申请规则，除召开股东大会或有权机关要求等特定情况外，上市公司无法查询特定日期的股东名册。公司最新股东数请查阅公司2021年第三季度报告中披露的相关信息。感谢您对公司的关注。
						",2021年11月24日 17:38,2021年12月03日 15:24,上港集团,(600018)
"
							:上港集团(600018)请问，截至2021年11月19日，公司的股东数是多少？谢谢
						","
							尊敬的投资者，您好。根据中国证券登记结算有限责任公司目前业务申请规则，除召开股东大会、有权机关要求等特定情况外，上市公司无法查询特定日期的股东名册。公司股东数请查阅公司定期报告中披露的相关信息。感谢您对公司的关注。
						",2021年11月22日 16:23,2021年12月03日 15:23,上港集团,(600018)
"
							:上港集团(600018)你好！请问三季度此次确认退休人员的社会化统筹外费用是一次性的吗？
						","
							尊敬的投资者，您好。是，公司根据国务院办公厅相关文件精神，依据第三方机构的精算结果，根据企业会计准则对退休人员的设定受益计划，确认退休人员的社会化统筹外费用。感谢您对公司的关注。
						",2021年11月19日 08:41,2021年12月03日 15:23,上港集团,(600018)
"
							:上港集团(600018)贵公司三季度的管理费用比一二季度增加了很多很多，请问主要是什么原因
						","
							尊敬的投资者，您好。主要原因是：根据国务院办公厅《关于国有企业退休人员社会化管理的指导意见》（厅字19号）、《国有企业退休人员社会化管理有关问题解答》（国资厅发改革〔2020〕36号）等文件精神，公司推进实施退休人员社会化管理工作。公司依据第三方机构的精算结果，根据企业会计准则对退休人员的设定受益计划，确认退休人员的社会化统筹外费用。感谢您对公司的关注。
						",2021年11月15日 09:44,2021年11月18日 15:52,上港集团,(600018)
"
							:上港集团(600018)你好！请问公司是怎么管理供应商的，有使用专门的系统吗？比如SAP、泛微OA等，还是通过其他方式去进行管理的呢？
						","
							尊敬的投资者，您好。公司根据内部相关采购制度及使用内部相关管理平台等进行供应商规范管理。感谢您对公司的关注。
						",2021年11月11日 18:04,2021年11月18日 15:52,上港集团,(600018)
"
							:上港集团(600018)董秘您好：公司业绩今年大幅高于去年，但是股价并没有反映出公司真实的业绩水平，而且近期股价暴跌，明显弱于大盘，请问是否公司有不为人知潜在的风险隐患，对于公司股价暴跌，管理层是否有应对措施，谢谢。
						","
							尊敬的投资者，您好。公司目前生产经营活动正常，三季度归属于上市公司股东净利润约30.25亿元，同比增长39.32%。公司除已披露的信息外，不存在应披露而未披露的信息。股价的波动受很多因素的影响，公司持续关注二级市场股价表现，努力提升公司效益增长，这是支撑股价的重要保障。感谢您对公司的关注。
						",2021年11月15日 08:54,2021年11月16日 16:40,上港集团,(600018)
"
							:上港集团(600018)公司股价低估，低于每股净资产，建议做一下市值管理
						","
							尊敬的投资者，您好。截至三季度末，公司每股净资产为4.12元，公司将持续做好市值管理工作。感谢您对公司的关注和建议。
						",2021年11月11日 11:08,2021年11月16日 16:40,上港集团,(600018)
"
							:上港集团(600018)贵公司三季度的以色列港口和湖州内河港开业后运营是否正常。
						","
							尊敬的投资者，您好。以色列海法港和湖州上港目前运营正常。感谢您对公司的关注。
						",2021年11月10日 13:17,2021年11月16日 16:38,上港集团,(600018)
"
							:上港集团(600018)您好，贵司近期股价断崖式下跌，对此您怎么看，是发生了什么？是下半年港口冷清了吗。
						","
							尊敬的投资者，您好。公司目前生产经营活动正常，三季度归属于上市公司股东净利润约30.25亿元，同比增长39.32%。公司除已披露的信息外，不存在应披露而未披露的信息。股价的波动受很多因素的影响，公司持续关注二级市场股价表现，努力提升公司效益增长，这是支撑股价的重要保障。感谢您对公司的关注。
						",2021年11月09日 08:58,2021年11月16日 16:37,上港集团,(600018)
"
							:上港集团(600018)您好！以下针对贵公司在2020年1月-3月期间的捐赠信息的问题，希望得到您的解答。 1. 2020年1月-3月期间，是否有针对抗击新冠疫情的对外捐赠？ 2.其中，实物捐赠和货币捐赠金额分别是多少？ 3.是否有涉及定向捐赠，具体金额是多少？ 4.相关的捐赠信息是否对外披露？ 谢谢！
						","
							尊敬的投资者，您好。公司2020年相关捐赠信息已在2020年年度报告和可持续发展报告中披露，感谢您对公司的关注！
						",2021年10月27日 09:41,2021年11月03日 17:07,上港集团,(600018)
"
							:上港集团(600018)请问贵港口目前对登上外轮的引航员、理货员、装卸工人等实行什么样的防疫规定？比如封闭式管理，轮休外出是不是要14天集中隔离+7天居家隔离？如果装卸工人短缺，近期有没有招聘，预计什么时候短缺缓解？
						","
							尊敬的投资者，您好。公司严格按照上海市港口口岸疫情联防联控工作小组办公室下发的《上海港口高风险人员集中居住点疫情风险防控管理要求（试行）》的相关要求，落实一线高风险作业岗位人员的集中居住管理。目前公司港口作业一切运转正常。感谢您对公司的关注。
						",2021年10月22日 08:29,2021年11月03日 17:00,上港集团,(600018)
"
							:上港集团(600018)您好，请问贵公司是否建立了财务共享中心，具体是哪一年建立的？谢谢！
						","
							尊敬的投资者，您好。公司目前尚未建立。感谢您对公司的关注。
						",2021年10月08日 09:15,2021年11月03日 17:00,上港集团,(600018)
"
							:上港集团(600018)尊敬的董秘，您好请问从贵司装箱出口进口，主要是什么货物呢？煤炭？钢铁？纺织品？机电产品？电子产品？请问有无分析统计各占多大比例。
						","
							尊敬的投资者，您好。关于货物品种的统计数据请查询中国海关总署和上海海关在其官网公布的相关数据。感谢您对公司的关注。
						",2021年09月09日 16:09,2021年09月15日 16:30,上港集团,(600018)
"
							:上港集团(600018)21年半年报数据：净利润率52%、毛利率44%，都大幅高于过去10年。请问是什么原因？
						","
							尊敬的投资者，您好。主要原因一是根据财政部于2017年发布的《关于修订印发〈企业会计准则第14号——收入〉的通知》（财会【2017】22号），公司自2020年1月1日起开始执行新收入准则，代理业务收入成本核算口径发生变化，使得营业收入、营业成本同比减少；二是2021年上半年公司净利润增长。感谢您对公司的关注。
						",2021年09月01日 09:33,2021年09月15日 16:30,上港集团,(600018)
